run_id,timestamp,random_seed,seed_group,workload_type,traffic_intensity,cache_size_mb,cache_policy,memory_allocation_mb,memory_policy,thread_count,cpu_cores,queue_depth,io_parallelism,request_size_kb,io_scheduler,read_write_ratio,block_size_kb,garbage_collection,gc_aggressiveness,over_provisioning_pct,compression_enabled,compression_level,checksum_enabled,encryption_enabled,adaptive_scheduler,dynamic_cache,predictive_prefetch,advanced_gc,thermal_policy,thermal_limit_c,power_profile,scheduler_type,load_balancing,recovery_mode,automatic_recovery,retry_strategy,max_retries,timing_jitter_ms,timeout_jitter_ms,request_arrival_rate,burst_probability,stress_level,ambient_temperature_c,background_cpu_load_pct,background_memory_load_pct,power_variation_pct,voltage_variation_pct,fault_injection_type,fault_injection_probability,fault_injection_severity,transient_fault,cpu_utilization_pct,memory_utilization_pct,cache_hit_rate_pct,queue_utilization_pct,average_latency_ms,p95_latency_ms,p99_latency_ms,power_consumption_w,device_temperature_c,thermal_throttle_pct,throughput_gbps,execution_time_sec,error_count,timeout_count,recovery_events,data_integrity_errors,watchdog_events,pass_fail,failure_type,reliability_score,performance_score,execution_log,config_aux_01,config_aux_02,config_aux_03,config_aux_04,config_aux_05,config_aux_06,config_aux_07,config_aux_08,config_aux_09,config_aux_10,config_aux_11,config_aux_12,config_aux_13,config_aux_14,config_aux_15,config_aux_16,config_aux_17,config_aux_18,config_aux_19,config_aux_20,config_aux_21,config_aux_22,config_aux_23,config_aux_24,config_aux_25,config_aux_26,config_aux_27,config_aux_28,config_aux_29,config_aux_30,config_aux_31,config_aux_32,config_aux_33,config_aux_34,config_aux_35,config_aux_36,config_aux_37,config_aux_38,config_aux_39,config_aux_40
1,2026-01-01 0:00:00,8926,6,RANDOM_READ,MEDIUM,2048,STATIC,2048,ADAPTIVE,1,4,4,63,128,DYNAMIC,98.51670266,4,0,5,20.59932403,1,1,1,1,0,0,0,1,BALANCED,80,BALANCED,FIFO,DYNAMIC,ADVANCED,1,FIXED,9,14.07131262,20.09750171,4864.336872,0.178359343,4,26.07701428,13.59941685,29.59830609,2.624593451,-0.7814598849,NONE,0.0161708825,9,0,60.42312984,56.62068126,76.20377805,11.73431685,1.351822042,1.970350648,2.652208607,15.75795757,44.28603714,0,8.106449095,436.9752283,0,0,0,0,0,PASS,NONE,0.979022914,99.5340623,[2026-01-01 00:00:00] INFO  Test execution started | [2026-01-01 00:00:00] INFO  Workload initialized: RANDOM_READ | [2026-01-01 00:00:00] INFO  Queue depth: 4 | [2026-01-01 00:00:00] INFO  Cache hit rate: 76.2% | [2026-01-01 00:00:00] INFO  Throughput: 8.11 GB/s | [2026-01-01 00:00:00] PASS  Test execution completed,1,25,14,65,90,74,43,52,90,87,84,53,81,16,48,45,85,60,11,33,64,28,26,77,13,37,100,99,65,47,4,18,31,11,63,94,86,87,13,14
2,2026-01-01 0:15:00,77396,16,BURST_TRAFFIC,LOW,2048,STATIC,12288,DYNAMIC,54,16,256,42,512,STATIC,51.89667063,8,1,6,17.26933329,0,7,0,1,1,0,1,1,BALANCED,80,PERFORMANCE,PRIORITY,STATIC,ADVANCED,1,EXPONENTIAL,3,3.986395752,66.96137037,2937.274491,0.3687612308,3,32.80669407,18.35199288,4.703691448,0.004676782704,-1.424333249,NONE,0.0182863859,3,1,60.81711285,66.2076315,84.50953019,71.59689874,3.603252768,5.459773701,6.41881209,14.19240419,48.77599346,0,9.892072782,434.551816,0,0,0,0,0,PASS,NONE,0.5762586787,100,[2026-01-01 00:15:00] INFO  Test execution started | [2026-01-01 00:15:00] INFO  Workload initialized: BURST_TRAFFIC | [2026-01-01 00:15:00] INFO  Queue depth: 256 | [2026-01-01 00:15:00] INFO  Cache hit rate: 84.5% | [2026-01-01 00:15:00] INFO  Throughput: 9.89 GB/s | [2026-01-01 00:15:00] PASS  Test execution completed,31,16,12,80,57,8,41,19,78,46,47,10,15,80,50,67,35,0,28,59,14,66,17,32,8,83,25,46,4,55,74,44,61,13,14,3,17,95,65,61
3,2026-01-01 0:30:00,65458,18,HEAVY_LOAD,MEDIUM,1024,STATIC,1024,DYNAMIC,8,4,1,2,16,DYNAMIC,65.56307953,256,1,3,25.47328107,1,6,1,1,1,0,1,1,RELAXED,90,BALANCED,PRIORITY,DYNAMIC,NONE,1,FIXED,5,76.63642422,35.25056929,3324.835948,0.0825884341,2,29.36631566,30.87208991,13.5670411,2.07003484,-0.4589824725,NONE,0.01131923479,5,0,51.44491058,50.45482427,67.29870209,22.19935972,1.582187629,2.287436521,3.132252279,9.768800691,43.70396499,0,6.162750079,437.7815492,0,0,0,0,0,PASS,NONE,0.959473261,86.52593901,[2026-01-01 00:30:00] INFO  Test execution started | [2026-01-01 00:30:00] INFO  Workload initialized: HEAVY_LOAD | [2026-01-01 00:30:00] INFO  Queue depth: 1 | [2026-01-01 00:30:00] INFO  Cache hit rate: 67.3% | [2026-01-01 00:30:00] INFO  Throughput: 6.16 GB/s | [2026-01-01 00:30:00] PASS  Test execution completed,32,53,24,81,64,68,25,87,73,54,95,69,11,23,76,7,95,3,43,5,4,87,8,40,33,8,96,18,88,62,97,97,100,14,11,3,31,16,84,86
4,2026-01-01 0:45:00,43888,8,RANDOM_READ,HIGH,512,ADAPTIVE,12288,STATIC,47,8,8,9,256,STATIC,90.07570292,4,0,9,18.74009195,1,5,1,0,1,1,1,1,BALANCED,80,BALANCED,PRIORITY,DYNAMIC,BASIC,0,FIXED,1,28.09915601,23.91440045,2523.172767,0.1934093002,5,23.68106835,27.60101484,20.44808831,1.17729911,2.00508988,NONE,0.004536149703,2,0,71.28297819,55.06612842,74.30167777,32.06071874,1.69185214,3.080814929,4.392814346,11.04513837,39.84962633,0,7.569142898,430.2667254,0,0,0,0,0,PASS,NONE,1,99.84506558,[2026-01-01 00:45:00] INFO  Test execution started | [2026-01-01 00:45:00] INFO  Workload initialized: RANDOM_READ | [2026-01-01 00:45:00] INFO  Queue depth: 8 | [2026-01-01 00:45:00] INFO  Cache hit rate: 74.3% | [2026-01-01 00:45:00] INFO  Throughput: 7.57 GB/s | [2026-01-01 00:45:00] PASS  Test execution completed,24,32,97,68,89,72,40,92,78,87,57,31,31,59,70,23,67,11,83,86,12,56,98,99,94,76,97,24,37,32,66,88,2,81,47,62,23,13,89,13
5,2026-01-01 1:00:00,43302,2,SEQUENTIAL_READ,MEDIUM,512,ADAPTIVE,1024,DYNAMIC,2,16,64,44,256,PRIORITY,100,16,1,5,27.60834315,0,5,0,1,1,1,0,1,RELAXED,75,BALANCED,FIFO,DYNAMIC,NONE,1,FIXED,2,11.04086712,39.94250807,2574.678301,0.1519323268,7,31.80393275,23.80525158,47.10293978,0.9207483751,0.9098968797,NONE,0.01547647348,10,0,61.79674101,64.38927749,87.6023336,32.0113643,1.807849939,2.924798736,3.461035315,14.06208932,51.35845045,0,10.66203726,431.1590166,0,0,0,0,0,PASS,NONE,0.9832074557,100,[2026-01-01 01:00:00] INFO  Test execution started | [2026-01-01 01:00:00] INFO  Workload initialized: SEQUENTIAL_READ | [2026-01-01 01:00:00] INFO  Queue depth: 64 | [2026-01-01 01:00:00] INFO  Cache hit rate: 87.6% | [2026-01-01 01:00:00] INFO  Throughput: 10.66 GB/s | [2026-01-01 01:00:00] PASS  Test execution completed,10,46,73,95,82,98,87,58,18,40,45,53,21,76,33,100,29,55,92,70,37,3,23,1,41,95,76,54,13,68,28,65,72,23,57,49,25,29,30,4
6,2026-01-01 1:15:00,85860,20,RANDOM_WRITE,LOW,512,PREDICTIVE,2048,DYNAMIC,56,32,256,42,128,STATIC,23.48201425,1024,1,5,18.23456377,1,7,1,1,0,1,0,1,AGGRESSIVE,75,BALANCED,DYNAMIC,DYNAMIC,BASIC,1,FIXED,10,14.51801464,39.36051999,2425.409647,0.2084740403,6,37.18770917,0.4635269756,45.64798864,0.1301996618,-0.1762686554,NONE,0.001652531567,4,0,60.93944321,74.39217978,77.20147998,58.44871377,4.738929038,9.390273882,11.64381244,13.53601852,59.70692662,0,9.206466076,437.537757,0,0,0,0,0,PASS,NONE,0.7474587459,99.04482391,[2026-01-01 01:15:00] INFO  Test execution started | [2026-01-01 01:15:00] INFO  Workload initialized: RANDOM_WRITE | [2026-01-01 01:15:00] INFO  Queue depth: 256 | [2026-01-01 01:15:00] INFO  Cache hit rate: 77.2% | [2026-01-01 01:15:00] INFO  Throughput: 9.21 GB/s | [2026-01-01 01:15:00] PASS  Test execution completed,95,15,95,69,46,41,28,52,47,49,61,15,0,46,41,25,8,30,30,45,43,58,18,22,48,40,47,81,3,74,97,26,71,27,20,91,79,1,64,52
7,2026-01-01 1:30:00,8595,15,HEAVY_LOAD,MEDIUM,128,PREDICTIVE,2048,DYNAMIC,16,2,128,24,32,DYNAMIC,49.16438278,32,1,4,13.57813274,0,8,1,1,1,1,0,1,BALANCED,75,BALANCED,PRIORITY,STATIC,BASIC,1,FIXED,0,8.075608558,99.10857384,3522.427013,0.08757466804,8,21.60272268,12.39663559,5.501138418,1.744536886,-1.86555205,NONE,0.0007053933708,3,0,52.31213657,65.65099505,73.89801117,48.25759857,2.465403447,3.834260591,6.010681068,10.48149608,42.69599714,0,10.16364046,438.6156148,0,0,0,0,0,PASS,NONE,0.9523884428,100,[2026-01-01 01:30:00] INFO  Test execution started | [2026-01-01 01:30:00] INFO  Workload initialized: HEAVY_LOAD | [2026-01-01 01:30:00] INFO  Queue depth: 128 | [2026-01-01 01:30:00] INFO  Cache hit rate: 73.9% | [2026-01-01 01:30:00] INFO  Throughput: 10.16 GB/s | [2026-01-01 01:30:00] PASS  Test execution completed,74,73,40,40,11,67,44,81,7,55,15,14,83,72,85,93,100,66,87,72,80,44,44,46,13,96,21,40,1,92,46,29,39,44,13,41,80,6,24,35
8,2026-01-01 1:45:00,69737,17,BURST_TRAFFIC,HIGH,2048,STATIC,1024,STATIC,61,4,192,42,4,DYNAMIC,85.90144051,8,1,5,5.498290326,0,6,1,1,1,0,0,0,AGGRESSIVE,65,PERFORMANCE,DYNAMIC,DYNAMIC,ADVANCED,1,FIXED,1,85.14561643,86.91699454,7239.029075,0.5582292882,8,31.42134569,29.16202218,35.53481612,0.5744524516,0.3887862895,NONE,0.01088223544,10,1,80.52915112,88.95233771,86.61395938,75.31348994,2.852319794,5.455356078,8.025303094,16.19662656,54.56331276,0,9.775935669,436.805797,12,4,1,0,2,FAIL,IO_TIMEOUT,0.6321093102,85.71912138,[2026-01-01 01:45:00] INFO  Test execution started | [2026-01-01 01:45:00] INFO  Workload initialized: BURST_TRAFFIC | [2026-01-01 01:45:00] INFO  Queue depth: 192 | [2026-01-01 01:45:00] INFO  Cache hit rate: 86.6% | [2026-01-01 01:45:00] WARN  Memory utilization high: 89.0% | [2026-01-01 01:45:00] ERROR IO TIMEOUT | [2026-01-01 01:45:00] INFO  Recovery attempt initiated | [2026-01-01 01:45:00] FAIL  Test execution failed,88,14,73,30,2,30,13,98,1,11,73,10,83,1,37,67,4,67,28,7,81,94,39,26,20,7,2,23,46,78,47,24,34,41,82,28,33,18,36,40
9,2026-01-01 2:00:00,20147,7,BURST_TRAFFIC,MEDIUM,1024,ADAPTIVE,8192,ADAPTIVE,31,4,32,23,16,DYNAMIC,26.07326727,1024,1,4,17.45901545,1,8,1,0,0,1,0,1,RELAXED,75,BALANCED,PRIORITY,DYNAMIC,ADVANCED,1,FIXED,4,78.7456068,20.99958911,1829.813752,0.3706645506,2,18.88734353,6.216567334,17.10821845,-0.0591173498,2.181930681,NONE,0.01267516711,6,1,58.57808353,52.66531105,84.65129953,23.89366958,1.617986998,2.193808576,3.87802793,11.05690395,28.790341,0,9.233875465,423.101738,0,0,0,0,0,PASS,NONE,0.9965156228,100,[2026-01-01 02:00:00] INFO  Test execution started | [2026-01-01 02:00:00] INFO  Workload initialized: BURST_TRAFFIC | [2026-01-01 02:00:00] INFO  Queue depth: 32 | [2026-01-01 02:00:00] INFO  Cache hit rate: 84.7% | [2026-01-01 02:00:00] INFO  Throughput: 9.23 GB/s | [2026-01-01 02:00:00] PASS  Test execution completed,37,9,4,39,91,62,76,82,76,81,34,84,36,82,93,23,6,99,72,9,46,39,0,29,25,50,98,86,59,44,6,92,92,52,16,99,46,16,99,50
10,2026-01-01 2:15:00,9418,18,RANDOM_WRITE,MEDIUM,1024,STATIC,2048,STATIC,37,16,192,31,512,PRIORITY,24.64185206,512,1,8,21.78567783,1,7,1,0,1,0,0,0,BALANCED,85,EFFICIENCY,DYNAMIC,DYNAMIC,ADVANCED,0,EXPONENTIAL,7,69.2037649,60.35832062,2014.91307,0.2990110282,4,18.84435696,11.44586988,45.15956172,3.899741926,0.719304774,NONE,0.0043228494,7,0,64.9940769,75.5917251,78.69035186,59.16621565,3.847012337,6.895289216,9.60592832,11.78907114,33.33917064,0,9.82728358,435.7453833,12,5,0,0,1,FAIL,IO_TIMEOUT,0.6132124999,77.16394382,[2026-01-01 02:15:00] INFO  Test execution started | [2026-01-01 02:15:00] INFO  Workload initialized: RANDOM_WRITE | [2026-01-01 02:15:00] INFO  Queue depth: 192 | [2026-01-01 02:15:00] INFO  Cache hit rate: 78.7% | [2026-01-01 02:15:00] ERROR IO TIMEOUT | [2026-01-01 02:15:00] FAIL  Test execution failed,37,10,74,2,46,96,6,49,100,65,89,89,90,37,25,58,73,79,27,45,69,30,56,60,100,26,42,28,92,5,11,86,41,8,87,23,14,76,44,60
